Input: 00000000 |Input 7bit: x0000000| tia_word_p: 1111111 | tia_word_n: 0000000 | Diff: 127
Input: 00000001 |Input 7bit: x0000001| tia_word_p: 1111111 | tia_word_n: 0000010 | Diff: 125
Input: 00000010 |Input 7bit: x0000010| tia_word_p: 1111101 | tia_word_n: 0000000 | Diff: 125
Input: 00000011 |Input 7bit: x0000011| tia_word_p: 1111101 | tia_word_n: 0000010 | Diff: 123
Input: 00000100 |Input 7bit: x0000100| tia_word_p: 1111011 | tia_word_n: 0000100 | Diff: 119
Input: 00000101 |Input 7bit: x0000101| tia_word_p: 1111011 | tia_word_n: 0000110 | Diff: 117
Input: 00000110 |Input 7bit: x0000110| tia_word_p: 1111001 | tia_word_n: 0000100 | Diff: 117
Input: 00000111 |Input 7bit: x0000111| tia_word_p: 1111001 | tia_word_n: 0000110 | Diff: 115
Input: 00001000 |Input 7bit: x0001000| tia_word_p: 1110111 | tia_word_n: 0001000 | Diff: 111
Input: 00001001 |Input 7bit: x0001001| tia_word_p: 1110111 | tia_word_n: 0001010 | Diff: 109
Input: 00001010 |Input 7bit: x0001010| tia_word_p: 1110101 | tia_word_n: 0001000 | Diff: 109
Input: 00001011 |Input 7bit: x0001011| tia_word_p: 1110101 | tia_word_n: 0001010 | Diff: 107
Input: 00001100 |Input 7bit: x0001100| tia_word_p: 1110011 | tia_word_n: 0001100 | Diff: 103
Input: 00001101 |Input 7bit: x0001101| tia_word_p: 1110011 | tia_word_n: 0001110 | Diff: 101
Input: 00001110 |Input 7bit: x0001110| tia_word_p: 1110001 | tia_word_n: 0001100 | Diff: 101
Input: 00001111 |Input 7bit: x0001111| tia_word_p: 1110001 | tia_word_n: 0001110 | Diff: 99
Input: 00010000 |Input 7bit: x0010000| tia_word_p: 1101111 | tia_word_n: 0010000 | Diff: 95
Input: 00010001 |Input 7bit: x0010001| tia_word_p: 1101111 | tia_word_n: 0010010 | Diff: 93
Input: 00010010 |Input 7bit: x0010010| tia_word_p: 1101101 | tia_word_n: 0010000 | Diff: 93
Input: 00010011 |Input 7bit: x0010011| tia_word_p: 1101101 | tia_word_n: 0010010 | Diff: 91
Input: 00010100 |Input 7bit: x0010100| tia_word_p: 1101011 | tia_word_n: 0010100 | Diff: 87
Input: 00010101 |Input 7bit: x0010101| tia_word_p: 1101011 | tia_word_n: 0010110 | Diff: 85
Input: 00010110 |Input 7bit: x0010110| tia_word_p: 1101001 | tia_word_n: 0010100 | Diff: 85
Input: 00010111 |Input 7bit: x0010111| tia_word_p: 1101001 | tia_word_n: 0010110 | Diff: 83
Input: 00011000 |Input 7bit: x0011000| tia_word_p: 1100111 | tia_word_n: 0011000 | Diff: 79
Input: 00011001 |Input 7bit: x0011001| tia_word_p: 1100111 | tia_word_n: 0011010 | Diff: 77
Input: 00011010 |Input 7bit: x0011010| tia_word_p: 1100101 | tia_word_n: 0011000 | Diff: 77
Input: 00011011 |Input 7bit: x0011011| tia_word_p: 1100101 | tia_word_n: 0011010 | Diff: 75
Input: 00011100 |Input 7bit: x0011100| tia_word_p: 1100011 | tia_word_n: 0011100 | Diff: 71
Input: 00011101 |Input 7bit: x0011101| tia_word_p: 1100011 | tia_word_n: 0011110 | Diff: 69
Input: 00011110 |Input 7bit: x0011110| tia_word_p: 1100001 | tia_word_n: 0011100 | Diff: 69
Input: 00011111 |Input 7bit: x0011111| tia_word_p: 1100001 | tia_word_n: 0011110 | Diff: 67
Input: 00100000 |Input 7bit: x0100000| tia_word_p: 1011111 | tia_word_n: 0100000 | Diff: 63
